2023-02-02 13:41:23 - PHP Warning:  copy(/var/www/opencart/image//bal-loading.gif): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:41:23 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/bal_language.js): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:41:23 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/bal_loader.js): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:41:23 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/bal_style.css): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:41:23 - PHP Warning:  copy(/var/www/opencart/catalog//view/javascript/jquery/jquery.autopager.js): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:03 - PHP Warning:  copy(/var/www/opencart/admin//controller/extension/module/currencycourse.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:03 - PHP Warning:  copy(/var/www/opencart/admin//language/en-gb/extension/module/currencycourse.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:03 - PHP Warning:  copy(/var/www/opencart/admin//language/ru-ru/extension/module/currencycourse.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:03 - PHP Warning:  copy(/var/www/opencart/admin//view/template/extension/module/currencycourse.tpl): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:18 - PHP Warning:  copy(/var/www/opencart/admin//controller/extension/module/currencycourse.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:18 - PHP Warning:  copy(/var/www/opencart/admin//language/en-gb/extension/module/currencycourse.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:18 - PHP Warning:  copy(/var/www/opencart/admin//language/ru-ru/extension/module/currencycourse.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:44:18 - PHP Warning:  copy(/var/www/opencart/admin//view/template/extension/module/currencycourse.twig): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  mkdir(): Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//controller/sigmamsg/address_book.php): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//controller/sigmamsg/mass_sending.php): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//controller/sigmamsg/profile.php): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//controller/sigmamsg/reports.php): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//controller/sigmamsg/sending_by_events.php): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  mkdir(): Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/catalog//controller/sigmamsg/events.php): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//controller/extension/module/SigmaMsg.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/Logo.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/purse.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/sigma_menu-ico.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/tinkoff-padding.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/viber_ico.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/yandex-padding.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/address_book.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/mass_sending.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/profile.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/reports.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:45:10 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
